PtID,CompletedProtocol,Condition,IsSR,NormalFirst,SessionTime,StartKSS,EndKSS,TrialNo,TaskVersion,NoBlkBall,OddsA,OddsB,CorrectResp,PtResp,RT,IsCorrect,NoBrainers,NoBrainersTotal,Accuracy,L(X|A),L(X|B), LR(A) ,Prior(A),LogLLA,LogBaserate,post_odds,post_prob,IsEasy
2,1,2,1,1,1,3,3,10,2,1,0.3,0.7,0,0,1028,1,0,,,0.000304832,0.019509221,0.015625,0.3,-4.158883083,-0.84729786,0.006696429,0.00665,1
2,1,2,1,1,1,3,3,11,2,6,0,1,0,0,951,1,1,,,0.009754611,0.000609663,16,0.000001,2.772588722,-13.81550956,1.6E-05,0.00002,1
2,1,2,1,1,1,3,3,12,2,5,0.9,0.1,1,1,1166,1,0,,,0.004877305,0.001219326,4.000000001,0.9,1.386294361,2.197224577,35.99999998,0.97297,1
2,1,2,1,1,1,3,3,13,2,3,0.8,0.2,2,1,984,1,0,,,0.001219326,0.004877305,0.25,0.8,-1.386294361,1.386294361,1,0.50000,0
2,1,2,1,1,1,3,3,14,2,4,0.3,0.7,0,0,1039,1,0,,,0.002438653,0.002438653,1,0.3,0,-0.84729786,0.428571429,0.30000,0
2,1,2,1,1,1,3,3,15,2,1,1,0,1,1,885,1,1,,,0.000304832,0.019509221,0.015625,0.999999,-4.158883083,13.81550956,15624.98441,0.99994,1
2,1,2,1,1,1,3,3,16,2,4,0.4,0.6,0,0,978,1,0,,,0.002438653,0.002438653,1,0.4,0,-0.405465108,0.666666667,0.40000,0
2,1,2,1,1,1,3,3,17,2,4,0.5,0.5,2,,6000,0,0,,,0.002438653,0.002438653,1,0.5,0,0,1,0.50000,0
2,1,2,1,1,1,3,3,18,2,1,1,0,1,1,1103,1,1,,,0.000304832,0.019509221,0.015625,0.999999,-4.158883083,13.81550956,15624.98441,0.99994,1
2,1,2,1,1,1,3,3,19,2,3,0,1,0,0,1153,1,1,,,0.001219326,0.004877305,0.25,0.000001,-1.386294361,-13.81550956,2.5E-07,0.00000,1
2,1,2,1,1,1,3,3,20,2,0,0.9,0.1,0,1,1004,0,0,,,0.000152416,0.039018442,0.00390625,0.9,-5.545177444,2.197224577,0.03515625,0.03396,1
2,1,2,1,1,1,3,3,21,2,8,0,1,0,0,893,1,1,,,0.039018442,0.000152416,256,0.000001,5.545177444,-13.81550956,0.000256,0.00026,1
2,1,2,1,1,1,3,3,22,2,6,0.5,0.5,1,1,1871,1,0,,,0.009754611,0.000609663,16,0.5,2.772588722,0,16,0.94118,1
2,1,2,1,1,1,3,3,23,2,0,0.8,0.2,0,1,1064,0,0,,,0.000152416,0.039018442,0.00390625,0.8,-5.545177444,1.386294361,0.015625,0.01538,1
